(first) scrape,ID#,straindescription,Cannabinoid,Genetics,Intoxication,Look,Medical,Smell Flavor,Wellness,Commoditization
101,2768,"""Anarchy OG"" Omega Beta Line --- Omega Concentrates Beta Line   THC = 67.15%   Indica Hybrid",1,0,0,0,0,0,0,1
101,3699,"""Blackberry Ogre"" Omega Gamma Line --- Omega Concentrates Gamma Line   THC = 77.64%   Indica Hybrid   1 Gram",1,0,0,0,0,0,0,1
101,343,"""Blue Dream"" Green Rush --- Green Rush   THC = 20.03%   Sativa   ""Uplifting, Cerebral, Invigorating""",1,0,0,0,0,0,1,0
101,14123,"""Blueberry"" Wax Omega Beta Line --- Omega Concentrates   THC = 78.04%   Indica   Sweet, Relaxing, Euphoric",1,0,1,0,0,1,1,0
101,14031,"""Bubba Kush"" Phat Panda --- Phat Panda   THC = 18.9%   Indica   ""Blissful, Body Buzz, Creative""",1,1,0,0,0,0,0,0
101,13790,"""Cannatonic"" Suspended Brands --- Suspended Brands   CBD = 12.44% THC = 5.47%   Indica Hybrid   Body Relaxation, Happy, Uplifting",1,0,0,0,0,0,1,0
101,13933,"""Cascade Connie"" Western Cultured --- Western Cultured   THC = 20.4%   Sativa Hybrid   Talkative, Uplifting, Happy",1,0,0,0,0,0,1,0
127,12649,"""Casey Jones"" Colitas Cannabis --- Colitas Cannabis   THC = 18.4%   Sativa   Uplifting, Creative, Energetic",1,0,0,0,0,0,1,0
127,2460,"""Chaos Kush"" Seattle Green Bud --- Seattle Green Bud   THC = 21.12%    Indica   Spicy, Heavy Body Relaxation, Sleepy",1,0,0,0,0,1,1,0
101,15024,"""Cheese"" Agrijuana --- THC = 20.5%    Cheese is said to descend from a Skunk #1 phenotype whose pungent aroma made it stand out. Breeders like Big Buddha Seeds later introduced Afghani indica genetics to increase Cheeses trichome production and yields. The resulting hybrid is now well-known for its relaxed, happy effects that gently ease you into a blissful state of mind.",1,1,0,0,0,0,1,0
127,2422,"""Cherry Pie"" Leaph 5* Ice Wax --- Leaph 5* Ice Wax   THC = 57.32%    Indica Hybrid",1,0,0,0,0,0,0,1
127,14102,"""Dirty Widow"" BHO Doc Croc --- Doc Croc   THC = 77.4%   Indica Hybrid",1,0,0,0,0,0,0,1
127,1722,"""Durban Poison"" Live Resin Chipper Gardens --- Chipper Gardens   THC = 63.10%   Sativa",1,0,0,0,0,0,0,1
127,12395,"""Ewok"" Rouge Raven Farms --- Rouge Raven Farms   THC = 20.5 %   Indica Hybrid   Cerebral, Creative, Body Relaxation",1,0,0,0,0,0,1,0
127,755,"""Exodus Cheese"" Phat Panda --- Phat Panda   THC = 20.7%   Indica Hybrid   Pungent, Blissful, Giggly ",1,0,1,1,0,1,1,0
101,13378,"""Girl Scout Cookies II"" Agrijuana --- Agrijuana   THC = 21.93%   Indica Hybrid   ""Earthy, Euphoric, Body Relaxation""",1,0,1,0,0,1,1,0
127,3611,"""Girl Scout Cookies"" Doc Croc --- Doc Croc   THC = 25.4%   Indica Hybrid   Calming, Euphoric, Body Relaxation",1,0,1,0,0,0,1,0
127,1034,"""Golden Pineapple"" Phat Panda --- Phat Panda   THC = 27.8%   Sativa Hybrid   ""Focused, Creative, Uplifting""",1,0,0,0,0,0,1,0
101,2086,"""Grape Ape"" Wax Omega Beta Line --- Omega Concentrates   THC = 74.76%   Indica   ""Relaxed, Happy, Sleepy""",1,0,0,0,0,0,1,0
101,4825,"""Grape Soda"" Coastal Cannabis --- Coastal Cannabis   THC = 20.72%   Indica Hybrid   ""Sweet, Mellow, Body Relaxation""",1,0,0,0,0,1,1,0
127,13825,"""House Blend"" Leaph  5* Ice Wax --- Leaph 5* Ice Wax   THC = 64.90%   Hybrid",1,0,0,0,0,0,0,1
