ID#,straindescription,Cannabinoid,Genetics,Intoxication,Look,Medical,Smell Flavor,Wellness,Commoditization
3065,"""12th Man Down"" Phat Panda --- Phat Panda   THC = 26.6%   Indica   Piney, Serene, Sleepy",1,0,0,0,0,1,1,0
3799,"""Blue Dream"" Agrijuana --- THC = 23.70%   
Blue Dream, a sativa-dominant hybrid originating in California, has achieved legendary status among West Coast strains. Crossing a Blueberry indica with the sativa Haze, Blue Dream balances full-body relaxation with gentle cerebral invigoration. Novice and veteran consumers alike enjoy the level effects of Blue Dream, which ease you gently into a calm euphoria. Some Blue Dream phenotypes express a more indica-like look and feel, but the sativa-leaning variety remains most prevalent.",1,1,1,0,0,0,1,0
2595,"""Blueberry Skunk"" Doc Croc --- Doc Croc   THC = 22.7%    Indica Hybrid   Euphoric, Giggly, Munchie Inducing",1,0,1,0,0,0,1,0
7651,"""Bubba Kush"" Doc Croc --- Doc Croc   THC = 70.6%   Indica",1,0,0,0,0,0,0,1
4040,"""California Dreams"" Omega Concentrates Beta Line --- Omega Concentrates   THC = 82.13%   Sativa Hybrid",1,0,0,0,0,0,0,1
1490,"""Chemdawg XJ"" Omega Live Resin --- Omega Concentrates   THC = 83.03%   Sativa   Cerebral, Uplifting, Stimulating",1,0,0,0,0,0,1,0
2432,"""Colombian Gold"" Live Resin Chipper Gardens --- Chipper Gardens   THC = 83.0%   Sativa",1,0,0,0,0,0,0,1
3169,"""Critical Kush"" Seattle Green Bud --- Seattle Green Bud   THC = 24.26%   Indica   Exhilarating, Munchie Inducing, Tranquil",1,0,1,0,0,0,1,0
2891,"""Fucking Incredible"" Doc Croc --- Doc Croc   THC = 27.03%   Indica   Relaxed, Mellow, Happy",1,0,0,0,0,0,1,0
3833,"""Girl Scout Cookies"" Leaph 5* Ice Wax --- Leaph 5* Ice Wax   THC = 78.43%   Indica Hyrbid",1,0,0,0,0,0,0,1
1609,"""Granddaddy Purp"" Wax Omega Beta Line --- Omega Concentrates   THC = 74.83%   Indica   
Cerebral euphoria and physical relaxation",1,0,1,0,0,0,1,0
890,"""Grunk"" Phat Panda --- Phat Panda   THC = 21.1%   Indica Hybrid   ""Skunky, Relaxed, Balanced""",1,0,0,0,0,1,1,0
