,locator_address,coord
0,"2107 s 12th st, tacoma, wa 98405 Tacoma WA 98405","(47.25000325, -122.46471174999999)"
1,"209 e 4th street, suite b, sprague, wa 99032 Sprague WA 99032","(47.2980004, -117.9742945)"
2,"209 e 4th street, suite b,sprague,washington 99032 Sprague WA 99032","(47.2980004, -117.9742945)"
3,"1875 1st st., cheney, washington 99004 Cheney WA 99004","(47.49860884210526, -117.56455810526316)"
4,"1875 first st., cheney, washington 99004 Cheney WA 99004","(47.50123038158706, -117.59541278846923)"
5,"17517 15th ave ne #202, shoreline, wa 98155 Shoreline WA 98155","(47.744970300890834, -122.30533504630053)"
6,"1637 east 72nd street, tacoma, wa 98404 Tacoma WA 98404","(47.04373087546614, -122.41077667967669)"
7,"524 e. 8th street, port angeles, washington 98362 Port angeles WA 98362","(48.10935134644727, -123.43045568917248)"
8,"11220 pacific ave south, tacoma, wa 98444 Tacoma WA 98444","(47.1789437, -122.4340722)"
9,"15015 hwy 99 suite a, lynnwood, wa 98087 Lynnwood WA 98087","(47.862066494970136, -122.28379524628642)"
10,"16053 aurora ave n suite b, seattle, wa 98133 Seattle WA 98133","(47.7170604, -122.34488)"
11,"9509 rainier ave s, seattle, wa 98118 Seattle WA 98118","(47.5201151, -122.2610895)"
12,"10522 lake city way ne c103, seattle, wa 98125 Seattle WA 98125","(47.71614337097611, -122.30203767820251)"
13,"7226 martin way e., olympia, washington 98516 Olympia WA 98516","(47.0477825, -122.8360762)"
14,"15915b state hwy 305 ne, poulsbo, wa 98370 Poulsbo WA 98370","(47.74718970134561, -122.64009809309646)"
15,"816 72nd st e, tacoma, wa 98404 Tacoma WA 98404","(47.19170944444444, -122.42066303030303)"
16,"delivery only, seattle, wa 98032 Seattle WA 98032","(47.386826391495575, -122.26634263052406)"
17,"828 rainier ave s, seattle, wa 98144 Seattle WA 98144","(47.5949732, -122.310322)"
18,"21837 old hw 99 sw, centralia, wa 98531 Centralia WA 98531","(46.77283187364462, -122.99069734861841)"
19,"1506 n pines spokane valley, spokane valley, wa 99206 Spokane valley WA 99206","(47.661473125258276, -117.26018234712633)"
20,"955 west broadway ave, moses lake, wa 98837 Moses lake WA 98837","(47.1259713877551, -119.28886497959184)"
21,"955 west broadway ave,moses lake,washington 98837 Moses lake WA 98837","(47.1259713877551, -119.28886497959184)"
22,"delivery, east & west vancouver, camas, washougal, salmon creek, battleground & surrounding clartk county areas, wa 98683 East & west vancouver, camas, washougal, salmon creek, battleground & surrounding clartk county areas WA 98683","(45.610347242273285, -122.50616319245927)"
23,"2224 2nd ave., seattle, wa 98121 Seattle WA 98121","(47.6139426, -122.3450309)"
24,"2518 meridian street, bellingham, washington 98225 Bellingham WA 98225","(48.763447408163266, -122.4859731632653)"
25,"1315 11th st, bellingham, wa 98225 Bellingham WA 98225","(48.719928714285714, -122.50325557142857)"
