,locator_address,coord
0,330 ne chkalov dr ste c & d Vancouver WA 98684,"(45.622329601706625, -122.55693459037974)"
1,9640 16th ave sw ste a Seattle WA 98106,"(47.5161814, -122.3549424)"
2,124 riverside ave Ione WA 99139,"(48.735985965938994, -117.41353798105212)"
3,2409 pacific ave Tacoma WA 98402,"(47.23982016326531, -122.43542946938776)"
4,15041 bothell way ne Seattle WA 98109,"(47.73857548979592, -122.2905717142857)"
5,1628 dexter ave n ste a Seattle WA 98109,"(47.6338758, -122.3420228)"
6,3249 perry ave ste b Bremerton WA 98310,"(47.59343298837209, -122.61323647674419)"
7,8202 ne state hwy 104 ste 101 Kingston WA 98346,
8,9403 e trent ave Millwood WA 99206,"(47.68200264500086, -117.27856763593292)"
9,212 ne 164th ave ste 11 Vancouver WA 98684,"(45.62248732075686, -122.50439023159228)"
10,19525 bothell everett hwy a Bothell WA 98012,"(47.8027185, -122.2094054)"
11,3213 s 38th ste c Tacoma WA 98404,"(47.223052375838925, -122.38707483892618)"
12,8459 main st unit b Dryden WA 98821,"(47.5414872, -120.560614)"
13,412 s interlake rd Moses lake WA 98837,"(47.1024462225715, -119.31171454497374)"
14,1215 e front st Port angeles WA 98362,"(48.1074165, -123.4026641)"
15,1323 e pioneer hwy Stanwood WA 98292,"(48.187989540930026, -122.21104909504082)"
16,1956 1st ave s Seattle WA 98134,"(47.5843967, -122.3339552)"
17,11311 hwy 99 Everett WA 98204,"(47.9040974, -122.244204)"
18,7924 river road Puyallup WA 98371,"(47.2029093, -122.3102536)"
19,282332 highway 101 ste 2 Port townsend WA 98368,"(39.8096867, -75.4895276)"
20,1606 fruitvale blvd Yakima WA 98902,"(46.612489457852334, -120.53068979328995)"
21,428 10th st Hoquiam WA 98550,"(46.97464371428571, -123.88341442857143)"
22,1315 n 1st st Yakima WA 98901,"(46.61907413867396, -120.51181976168465)"
23,retail title certificate Lakewood WA 98499,
24,11438 ne 124th st Kirkland WA 98034,"(47.71150865, -122.18755480228286)"
25,605 e francis Spokane WA 99208,"(47.715001, -117.4208449397261)"
26,7207 212th st sw Edmonds WA 98020,"(47.8071696, -122.3304926256275)"
27,5628 old hwy 410 sw ste a Olympia WA 98512,"(47.04955387510038, -123.00013043449135)"
28,1017 e methow valley hwy Twisp WA 98856,
29,837 a crescent beach rd Eastsound WA 98245,"(48.14434431662604, -123.73564143016307)"
30,1714 canyon rd Ellensburg WA 98926,"(46.975848400000004, -120.54082315861166)"
31,716 nw 65th st Seattle WA 98117,"(47.6761719, -122.36530934999999)"
32,10522 lake city way ne ste Seattle WA 98125,"(47.7057961, -122.30109541498965)"
33,705 east 1st st Cle elum WA 98922,"(47.19334949218924, -120.92561398039051)"
34,2123 w sims way apt 1 Port townsend WA 98368,"(48.102995163265305, -122.800746)"
35,1254 mt saint helens way ne #c Castle rock WA 98611,"(46.28691835483871, -122.89937780645161)"
36,214307 e sr 397 Kennewick WA 99337,"(46.196591, -119.0858052)"
37,321 ne 45th st Seattle WA 98105,"(47.6612139, -122.3242587)"
38,1403 n division st ste a Spokane WA 99202,"(47.20503530612245, -121.99479448979592)"
39,26207 maple valley black Maple valley WA 98038,"(47.3667691, -122.0226789)"
40,120 ne canning dr Colville WA 99114,
41,4428 williams valley rd ste a Clayton WA 99110,"(47.9641121, -117.5877787)"
42,2615 old highway 99 s Mount vernon WA 98273,"(48.4007137, -122.3362901)"
43,4503 ocean beach hwy ste 103 Longview WA 98632,"(46.162756271527755, -122.9981648141596)"
