County,MHI_5y,MHI_white_5y,MHI_black_5y,MHI_am_indian_5y,MHI_asian_5y,MHI_haw_pac_5y,MHI_other_5y,MHI_two_plus_5y,MHI_hispanic_5y,MHI_white_not_hispanic_5y,population_5y,population_21plus_5y,male_percent_5y,female_percent_5y,age_median_5y,age_21_over_5y,age_18_over_5y,age_20_to_24_5y,age_25_to_34_5y,age_35_to_44_5y,age_45_to_54_5y,age_55_to_59_5y,age_60_to_64_5y,age_65_over_5y,white_5y,black_5y,am_indian_5y,asian_5y,haw_pac_5y,other_race_5y,hisp_5y,white_not_hisp_5y,MHI_1y,MHI_white_1y,MHI_black_1y,MHI_am_indian_1y,MHI_asian_1y,MHI_haw_pac_1y,MHI_other_1y,MHI_two_plus_1y,MHI_hispanic_1y,MHI_white_not_hispanic_1y,population_1y,population_21plus_1y,male_percent_1y,female_percent_1y,age_median_1y,age_21_over_1y,age_18_over_1y,age_20_to_24_1y,age_25_to_34_1y,age_35_to_44_1y,age_45_to_54_1y,age_55_to_59_1y,age_60_to_64_1y,age_65_over_1y,white_1y,black_1y,am_indian_1y,asian_1y,haw_pac_1y,other_race_1y,hisp_1y,white_not_hisp_1y,Year,Square Miles
ADAMS,43926.0,46098.0,,6806.0,42692.0,,35058.0,54091.0,35989.0,51944.0,18802.0,11296.0,50.8,49.2,29.0,60.1,65.1,6.8,13.1,12.0,10.6,5.1,4.3,10.1,64.1,0.4,2.0,1.3,0.5,32.2,60.1,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,1924.98
ADAMS,44533.0,46608.0,,19135.0,43864.0,,34256.0,60821.0,37712.0,49609.0,18951.0,11380.0,50.9,49.1,28.9,60.0,65.0,7.1,12.8,12.0,10.6,5.1,4.3,10.1,67.5,0.5,1.4,1.6,0.3,29.1,60.8,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,1924.98
ADAMS,46564.0,52046.0,,,,,32582.0,62287.0,40060.0,53780.0,19081.0,11412.0,50.8,49.2,28.9,59.8,64.8,6.9,12.7,11.8,10.5,5.5,4.3,10.1,67.6,0.7,1.3,1.6,0.3,28.8,61.5,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,1924.98
ADAMS,47554.0,52057.0,,20714.0,,,37911.0,87500.0,42661.0,53872.0,19100.0,11521.0,50.9,49.1,28.6,60.3,64.8,7.0,12.5,11.5,10.7,5.2,4.4,10.4,70.9,1.0,2.4,1.2,0.2,24.3,61.9,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,1924.98
ADAMS,48131.0,53859.0,,24183.0,75588.0,,37553.0,63542.0,41583.0,56578.0,19261.0,11726.0,50.6,49.4,28.4,60.9,64.9,7.3,12.6,11.3,10.6,5.2,4.4,10.7,70.1,1.1,3.4,1.5,0.0,23.9,62.3,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,1924.98
ADAMS,49142.0,53693.0,,26157.0,78627.0,,41926.0,63080.0,42972.0,55861.0,19452.0,11795.0,50.6,49.4,28.3,60.6,64.8,7.3,12.7,11.2,10.5,5.1,4.7,10.8,69.3,1.3,4.3,1.6,0.2,23.8,63.0,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,1924.98
ASOTIN,43175.0,43632.0,5469.0,20469.0,81000.0,,29375.0,42639.0,32000.0,43863.0,21802.0,16284.0,47.9,52.1,43.6,74.7,78.7,6.1,10.9,11.2,14.1,7.0,7.5,19.7,93.9,1.2,2.6,1.1,0.3,1.3,3.3,92.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,636.21
ASOTIN,42689.0,42569.0,6071.0,21607.0,100652.0,,14643.0,70096.0,24662.0,42917.0,21955.0,16572.0,47.9,52.1,44.0,75.5,78.8,6.0,10.8,11.1,13.9,7.0,7.7,20.1,93.8,1.0,2.4,1.2,0.4,1.3,3.4,91.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,636.21
ASOTIN,44394.0,44467.0,,,101583.0,,,,31250.0,44641.0,22040.0,16721.0,47.9,52.1,44.2,75.9,79.0,6.2,10.8,10.9,13.5,7.6,7.6,20.4,93.5,1.2,2.5,1.3,0.4,1.2,3.6,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,636.21
ASOTIN,45550.0,45851.0,,,101417.0,,,31471.0,27154.0,46053.0,22113.0,16809.0,48.1,51.9,44.6,76.0,79.2,6.1,10.9,10.9,13.1,8.3,7.0,20.8,93.9,1.2,2.7,1.3,0.2,0.8,3.6,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,636.21
ASOTIN,47483.0,48135.0,,28424.0,104423.0,,,31721.0,27034.0,48402.0,22259.0,16867.0,47.6,52.4,44.7,75.8,79.2,5.7,11.1,10.7,12.5,8.4,7.0,21.6,93.1,1.3,3.7,1.3,0.2,0.6,3.6,91.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,636.21
ASOTIN,50423.0,50781.0,,28818.0,113409.0,,,31705.0,28286.0,50955.0,22337.0,17067.0,48.0,52.0,45.0,76.4,79.2,5.3,11.0,10.9,12.3,8.1,7.4,22.2,92.8,1.2,3.3,1.4,0.4,1.1,3.8,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,636.21
BENTON,60485.0,63394.0,56066.0,46964.0,84337.0,54904.0,37180.0,59813.0,39427.0,64440.0,178992.0,123050.0,50.1,49.9,35.5,68.7,73.0,6.5,13.2,12.3,13.9,6.8,5.6,12.1,80.9,2.1,2.0,3.6,0.3,11.7,19.0,73.9,58997.0,60814.0,48718.0,47267.0,,,44659.0,61454.0,43747.0,61385.0,184486.0,127988.0,50.2,49.8,35.3,69.4,73.1,6.8,13.5,12.2,12.8,6.6,6.1,12.8,77.2,2.3,2.0,4.0,0.2,14.9,19.9,72.8,2014,1700.38
BENTON,60589.0,63388.0,56233.0,40556.0,84274.0,52500.0,37555.0,57425.0,38585.0,64672.0,182053.0,125510.0,50.2,49.8,35.5,68.9,73.1,6.6,13.3,12.2,13.5,6.5,6.0,12.5,80.2,2.2,1.9,3.7,0.4,12.2,19.5,73.4,58093.0,60123.0,36350.0,24393.0,177150.0,,36017.0,32013.0,36457.0,61236.0,186486.0,129541.0,50.1,49.9,35.4,69.5,73.7,6.9,13.5,12.0,12.6,5.9,6.5,13.5,80.3,2.7,1.8,3.7,0.5,11.7,20.4,72.2,2015,1700.38
