Tradename,License Number,Street Address,UBI,Suite/Rm,City,State,County,ZipCode,PrivDesc,PrivilegeStatus,DateIssued,DayPhone,ManuallyCleaned,Source,slug,scrape,wmsite,address,city,email,street,st,dispensaryname,med_rec,zipcode,Wmaps_ManuallyCleaned,Wmaps_Source
#HASHTAG,414884,3540 STONE WAY N,6030000000000000.0,,SEATTLE                 ,WA,KING,98103-8924,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-12-21,3608184000,0,0,hashtag-recreational-cannabis,215.0,https://weedmaps.com/dispensaries/hashtag-recreational-cannabis,"3540 Stone Way N, Seattle, WA 98103",Seattle,MANAGER@SEATTLEHASHTAG.COM,3540 Stone Way N,WA,HASHTAG CANNABIS FREMONT,recreational,98103,0.0,
#HASHTAG,414884,3540 STONE WAY N,6030000000000000.0,,SEATTLE                 ,WA,KING,98103-8924,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-12-21,3608184000,0,0,hashtag-recreational-cannabis,227.0,https://weedmaps.com/dispensaries/hashtag-recreational-cannabis,"3540 Stone Way N, Seattle, WA 98103",Seattle,MANAGER@SEATTLEHASHTAG.COM,3540 Stone Way N,WA,HASHTAG CANNABIS FREMONT,recreational,98103,0.0,
#HASHTAG,414884,3540 STONE WAY N,6030000000000000.0,,SEATTLE                 ,WA,KING,98103-8924,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-12-21,3608184000,0,0,hashtag-recreational-cannabis,242.0,https://weedmaps.com/dispensaries/hashtag-recreational-cannabis,"3540 Stone Way N, Seattle, WA 98103",Seattle,MANAGER@SEATTLEHASHTAG.COM,3540 Stone Way N,WA,HASHTAG CANNABIS FREMONT,recreational,98103,0.0,
#HASHTAG,414884,3540 STONE WAY N,6030000000000000.0,,SEATTLE                 ,WA,KING,98103-8924,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-12-21,3608184000,0,0,hashtag-recreational-cannabis,245.0,https://weedmaps.com/dispensaries/hashtag-recreational-cannabis,"3540 Stone Way N,Seattle,Washington 98103",Seattle,MANAGER@SEATTLEHASHTAG.COM,3540 Stone Way N,WA,HASHTAG CANNABIS FREMONT,recreational,98103,0.0,
112TH STREET CANNABIS,423413,5809 112TH ST E BLDG B,6030000000000000.0,,PUYALLUP                ,WA,PIERCE,98373-4323,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-10-11,2069924008,0,0,issaquah-cannabis-company-2,184.0,https://weedmaps.com/dispensaries/issaquah-cannabis-company-2,"5809 112th St. East, Puyallup, WA 98155",Puyallup,TBD,5809 112th St. East,WA,112TH STREET CANNABIS,recreational,98155,0.0,
112TH STREET CANNABIS,423413,5809 112TH ST E BLDG B,6030000000000000.0,,PUYALLUP                ,WA,PIERCE,98373-4323,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-10-11,2069924008,0,0,issaquah-cannabis-company-2,215.0,https://weedmaps.com/dispensaries/issaquah-cannabis-company-2,"5809 112th St. East, Puyallup, WA 98155",Puyallup,TBD,5809 112th St. East,WA,112TH STREET CANNABIS,recreational,98155,0.0,
112TH STREET CANNABIS,423413,5809 112TH ST E BLDG B,6030000000000000.0,,PUYALLUP                ,WA,PIERCE,98373-4323,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-10-11,2069924008,0,0,issaquah-cannabis-company-2,227.0,https://weedmaps.com/dispensaries/issaquah-cannabis-company-2,"5809 112th St. East, Puyallup, WA 98155",Puyallup,TBD,5809 112th St. East,WA,112TH STREET CANNABIS,recreational,98155,0.0,
112TH STREET CANNABIS,423413,5809 112TH ST E BLDG B,6030000000000000.0,,PUYALLUP                ,WA,PIERCE,98373-4323,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-10-11,2069924008,0,0,issaquah-cannabis-company-2,242.0,https://weedmaps.com/dispensaries/issaquah-cannabis-company-2,"5809 112th St. East, Puyallup, WA 98155",Puyallup,TBD,5809 112th St. East,WA,112TH STREET CANNABIS,recreational,98155,0.0,
112TH STREET CANNABIS,423413,5809 112TH ST E BLDG B,6030000000000000.0,,PUYALLUP                ,WA,PIERCE,98373-4323,MARIJUANA RETAILER,ACTIVE (ISSUED),2019-10-11,2069924008,0,0,issaquah-cannabis-company-2,245.0,https://weedmaps.com/dispensaries/issaquah-cannabis-company-2,"5809 112th St. East,Puyallup,Washington 98155",Puyallup,CUSTOMERSERVICE@WEEDMAPS.COM,5809 112th St. East,WA,112TH STREET CANNABIS,recreational,98155,0.0,
12/12 GARDENS,417272,3104 234TH ST E UNIT A,6033590000000000.0,UNIT A                   ,SPANAWAY                ,WA,PIERCE,98387-7472,MARIJUANA PROCESSOR,ACTIVE (ISSUED),2016-12-15,2533507952,0,0,,,,,,,,,,,,,
