scrape,wmsite,dateaccess,dispensaryname,address,city,zipcode
101,"http://weedmaps.com/deliveries/all-time-high","2015-11-22","All Time High","Delivery Only, Seattle, WA 98032","Seattle","98032"
127,"http://weedmaps.com/deliveries/all-time-high","2016-05-22","All Time High","DELIVERY ONLY, Seattle, WA 98032","Seattle","98032"
101,"http://weedmaps.com/deliveries/bad-boy-buds-2","2015-11-21","Bad Boy Buds","Delivery, East & West Vancouver, Camas, Washougal, Salmon Creek, Battleground & Surrounding Clartk County Areas, WA 98683","East & West Vancouver, Camas, Washougal, Salmon Creek, Battleground & Surrounding Clartk County Areas","98683"
101,"http://weedmaps.com/deliveries/blue-wings-delivery","2015-11-22","Blue Wings Delivery - Vancouver","., Vancouver, WA .","Vancouver","."
127,"http://weedmaps.com/deliveries/blue-wings-delivery","2016-05-23","Blue Wings Delivery - Vancouver","DELIVERY ONLY, Vancouver, WA .","Vancouver","."
101,"http://weedmaps.com/deliveries/chronic-pain-curables-deliveries","2015-11-22","Supreme Green Delivery","DELIVERY ONLY, Lynwood, WA 98087","Lynwood","98087"
127,"http://weedmaps.com/deliveries/chronic-pain-curables-deliveries","2016-05-22","Supreme Green Delivery","DELIVERY ONLY, Seattle, WA 98101","Seattle","98101"
101,"http://weedmaps.com/deliveries/chronically-on-time","2015-11-22","Chronically - On - Time","Delivery Only, Port Angeles, washington 98363","Port Angeles","98363"
127,"http://weedmaps.com/deliveries/chronically-on-time","2016-05-23","Chronically - On - Time","DELIVERY ONLY, Port Angeles, washington 98363","Port Angeles","98363"
101,"http://weedmaps.com/deliveries/clear-mind-medical","2015-11-22","Clear Mind Medical","Delivery ***NEW LOWER PRICES***, Vancouver, WA 98665","Vancouver","98665"
127,"http://weedmaps.com/deliveries/clear-mind-medical","2016-05-22","Clear Mind Medical","DELIVERY ONLY, Vancouver, WA 98665","Vancouver","98665"
101,"http://weedmaps.com/deliveries/danny-s-greenlight-delivery","2015-11-22","DANNY'S GREENLIGHT DELIVERY","Delivery Service, Greater Eastside, WA 98005","Greater Eastside","98005"
127,"http://weedmaps.com/deliveries/danny-s-greenlight-delivery","2016-05-23","DANNY'S GREENLIGHT DELIVERY","DELIVERY ONLY, Greater Eastside, WA 98005","Greater Eastside","98005"
101,"http://weedmaps.com/deliveries/east-side-free","2015-11-22","Eastside Free Delivery","Delivery Service, East and North Seattle Area, Wa 98006","East and North Seattle Area","98006"
101,"http://weedmaps.com/deliveries/enc-delivery","2015-11-22","Eagle's Nest Delivery","Delivery, Vancouver, Washington 98665","Vancouver","98665"
127,"http://weedmaps.com/deliveries/enc-delivery","2016-05-23","Eagle's Nest Delivery","DELIVERY ONLY, Vancouver, Washington 98665","Vancouver","98665"
127,"http://weedmaps.com/deliveries/flowers-4-less-2","2016-05-23","Flowers 4 Less","DELIVERY ONLY, Spokane, WA 99205","Spokane","99205"
127,"http://weedmaps.com/deliveries/friendly-faces","2016-05-22","WeeDeliver - Des Moines","DELIVERY ONLY, Des Moines, WA 98198","Des Moines","98198"
101,"http://weedmaps.com/deliveries/fullys-wildflowers","2015-11-22","Fullys Wildflowers ","clark county, Vancouver, WA 98665","Vancouver","98665"
127,"http://weedmaps.com/deliveries/fullys-wildflowers","2016-05-23","Fullys Wildflowers ","DELIVERY ONLY, Vancouver, WA 98665","Vancouver","98665"
