scrape,wmsite,address,city,email,street,st,dateaccess,dispensaryname,slug,med_rec,zipcode,ManuallyCleaned,Source
154,https://weedmaps.com/dispensaries/local-roots-marijuana-edmonds,"23221 Edmonds Way Ste A, Edmonds, WA 98026",Edmonds, info@localrootsmarijuana.com,23221 Edmonds Way Ste A,WA,11/25/16,Local Roots - Edmonds,,recreational,98026,1,Manual Validation
184,https://weedmaps.com/dispensaries/local-roots-marijuana-edmonds,"23221 Edmonds Way Ste A, Edmonds, WA 98026",Edmonds, info@localrootsmarijuana.com,23221 Edmonds Way Ste A,WA,5/27/17,Local Roots - Edmonds,,recreational,98026,1,Manual Validation
215,https://weedmaps.com/dispensaries/local-roots-marijuana-edmonds,"23221 Edmonds Way Ste A, Edmonds, WA 98026",Edmonds, info@localrootsmarijuana.com,23221 Edmonds Way Ste A,WA,11/25/17,Local Roots - Edmonds,,recreational,98026,1,Manual Validation
227,https://weedmaps.com/dispensaries/local-roots-marijuana-edmonds,"23221 Edmonds Way Ste A, Edmonds, WA 98026",Edmonds, info@localrootsmarijuana.com,23221 Edmonds Way Ste A,WA,5/26/18,Local Roots - Edmonds,local-roots-marijuana-edmonds,recreational,98026,1,Manual Validation
242,https://weedmaps.com/dispensaries/local-roots-marijuana-edmonds,"23221 Edmonds Way Ste A, Edmonds, WA 98026",Edmonds,info@localrootsmarijuana.com,23221 Edmonds Way Ste A,WA,12/16/18,Local Roots - Edmonds,local-roots-marijuana-edmonds,recreational,98026,1,Manual Validation
245,https://weedmaps.com/dispensaries/local-roots-marijuana-edmonds,"23221 Edmonds Way Ste A, Edmonds, WA 98026",Edmonds,info@localrootsmarijuana.com,23221 Edmonds Way Ste A,WA,6/23/19,Local Roots - Edmonds,local-roots-marijuana-edmonds,recreational,98026,1,Manual Validation
184,https://weedmaps.com/dispensaries/sweet-leaf-cannabis-2-2,"100 Old Hill Road, Aberdeen, WA 98520",Aberdeen,sweetleafaberdeen@gmail.com,100 Old Hill Road,WA,5/27/17,Sweet Leaf Cannabis ,,recreational,98520,0,
215,https://weedmaps.com/dispensaries/sweet-leaf-cannabis-2-2,"100 Old Hill Road, Aberdeen, WA 98520",Aberdeen,sweetleafaberdeen@gmail.com,100 Old Hill Road,WA,11/25/17,Sweet Leaf Cannabis,,recreational,98520,0,
227,https://weedmaps.com/dispensaries/sweet-leaf-cannabis-2-2,"100 Old Hill Road, Aberdeen, WA 98520",Aberdeen,sweetleafaberdeen@gmail.com,100 Old Hill Road,WA,5/26/18,Sweet Leaf Cannabis,sweet-leaf-cannabis-2-2,recreational,98520,0,
242,https://weedmaps.com/dispensaries/sweet-leaf-cannabis-2-2,"100 Old Hill Road, Aberdeen, WA 98520",Aberdeen,sweetleafaberdeen@gmail.com,100 Old Hill Road,WA,12/16/18,Sweet Leaf Cannabis,sweet-leaf-cannabis-2-2,recreational,98520,0,
