"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"0500000US53005","Benton County, Washington","68334","1186","83.7","1.7","N","N","N","N","N","N","N","N","9.9","1.5","N","N","14.3","1.3","79.7","1.5","6.1","1.4","32.5","1.9","38.7","1.8","22.6","1.6","48970","2124","47.5","3.0","52.5","3.0","74.4","3.0","17.4","2.9","8.2","2.1","19364","1735","52.5","4.7","44.7","5.2","7.8","3.0","47.5","4.7","35.0","4.8","12.5","4.8","24.2","(X)","26.1","(X)","18.7","(X)","58997","2392","60814","2599","48718","43938","47267","32737","N","N","-","**","44659","4902","61454","30497","43747","4915","61385","2615","29231","20010","59261","6673","79373","7292","43770","5470","66709","4913","55966","7196","77193","6361","82066","4064","24421","5819","42436","22388","40116","4966","28307","5906","24123","4638","54691","11516","50226","5405","48271","5453","54403","11944","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53007","Chelan County, Washington","27665","1554","94.7","2.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","78.4","3.8","1.7","1.4","32.2","4.0","36.9","3.7","29.3","2.8","18601","1826","N","N","N","N","N","N","N","N","N","N","9064","1373","62.4","9.2","52.3","8.4","10.1","8.4","37.6","9.2","34.7","9.0","3.0","2.3","42.7","(X)","40.9","(X)","44.7","(X)","51101","2605","51284","2907","-","**","N","N","-","**","-","**","49991","24786","60365","47972","41460","17260","53339","4388","24159","58507","51479","6421","61637","12591","37343","8118","62207","7080","55885","7306","67675","8016","69565","8446","17280","6765","34507","29780","23502","3736","21442","3849","20315","3944","51098","24073","36002","23177","26181","25158","54364","63669","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53009","Clallam County, Washington","30606","1037","91.4","1.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","88.0","1.7","3.7","1.7","20.5","2.6","36.7","2.4","39.1","2.5","18645","1654","N","N","N","N","N","N","N","N","N","N","11961","1576","56.3","5.7","44.9","6.3","11.4","4.7","43.7","5.7","34.1","5.7","9.6","3.7","25.8","(X)","23.7","(X)","26.5","(X)","46566","3259","47909","3334","N","N","26000","12583","N","N","-","**","-","**","35753","14363","22814","9013","48655","3417","32098","18985","44257","8757","54385","7231","45162","4414","56850","4431","43288","14573","60313","6823","67564","5530","31332","4373","33525","39244","28638","3376","24635","7224","22630","3888","34388","17662","30012","3061","28724","3181","47149","13727","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53011","Clark County, Washington","158778","2011","88.7","0.7","N","N","N","N","3.7","0.4","N","N","2.4","0.5","2.4","0.5","5.5","0.6","86.0","0.7","2.4","0.4","34.7","1.0","40.6","1.0","22.3","0.9","111361","2990","45.9","2.1","54.1","2.1","76.1","2.3","17.2","1.8","6.6","1.2","47417","2537","50.8","3.3","43.2","3.5","7.6","1.7","49.2","3.3","37.1","3.4","12.1","2.1","26.2","(X)","26.2","(X)","23.3","(X)","57588","2105","58923","2363","50580","34316","41643","30576","58428","19656","120973","90642","35994","12770","41952","12705","43511","5000","59648","2403","26926","19467","58137","3306","72889","4071","43501","2619","67442","2151","65711","4226","69058","3250","77215","2185","35007","3560","52058","5003","38009","2253","30943","3263","28336","2664","51989","4477","44103","2966","39853","2921","53360","7997","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53015","Cowlitz County, Washington","38483","1375","93.3","1.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","90.6","1.6","3.1","1.1","26.4","2.3","40.8","2.6","29.7","1.7","25521","1938","N","N","N","N","N","N","N","N","N","N","12962","1537","59.8","6.2","46.2","5.9","13.6","5.0","40.2","6.2","33.1","5.6","7.1","4.0","26.5","(X)","25.2","(X)","28.0","(X)","48417","3560","49389","3454","-","**","23874","21319","36825","16507","-","**","21150","15992","N","N","34155","32025","49468","3749","21855","12782","61042","13272","56501","5539","34763","3238","59725","4454","60955","8508","59269","6246","70021","5007","24964","5405","35763","9177","26363","2543","21016","4154","18750","4640","27094","13718","32822","11451","28792","6184","81818","14719","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53021","Franklin County, Washington","24434","705","83.0","4.3","N","N","N","N","N","N","N","N","N","N","N","N","38.9","3.4","56.5","3.6","3.5","2.1","48.1","4.5","33.6","4.3","14.8","2.1","18827","1171","N","N","N","N","N","N","N","N","N","N","5607","1039","35.7","10.0","30.2","10.2","5.5","4.6","64.3","10.0","52.1","11.1","12.2","7.4","36.4","(X)","36.2","(X)","28.3","(X)","56631","8836","64048","11486","N","N","-","**","81080","9365","-","**","28407","11669","N","N","33987","6642","71215","5678","45194","29664","61506","18017","63369","8806","38222","8616","56313","11781","51121","11154","70414","15930","73677","6621","21872","4673","58274","15995","33691","18104","26102","6022","25716","6135","39153","35821","54271","36619","35664","37646","75558","54587","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53025","Grant County, Washington","29888","1199","79.5","3.5","N","N","N","N","N","N","N","N","17.4","3.0","N","N","29.1","2.0","68.0","3.0","5.0","2.1","37.8","3.0","33.5","3.2","23.7","1.9","21951","1565","N","N","N","N","N","N","N","N","N","N","7937","1248","54.4","8.9","44.2","9.5","10.2","7.2","45.6","8.9","35.4","8.3","10.1","5.0","32.4","(X)","32.9","(X)","30.3","(X)","46728","4277","49327","4986","-","**","N","N","-","**","-","**","36711","17441","-","**","33963","6593","53112","6145","30487","10596","51811","5826","55455","6191","32704","6170","52547","4697","51240","6945","54527","6541","60934","2935","23265","11749","25820","16082","24022","7643","17450","8121","15931","4552","32403","55900","31959","8088","30503","13238","59511","38191","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53027","Grays Harbor County, Washington","26815","1647","93.0","2.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","87.9","2.8","3.7","2.1","29.8","2.8","40.7","2.6","25.8","2.7","17709","1558","N","N","N","N","N","N","N","N","N","N","9106","1232","58.5","6.5","50.3","6.1","8.2","4.8","41.5","6.5","32.3","6.9","9.2","4.7","27.9","(X)","31.0","(X)","21.4","(X)","41315","4597","41338","4808","130743","100358","70852","48411","23333","22454","-","**","46726","27914","N","N","47327","20364","41024","4697","41352","11662","42033","16692","52468","11414","30828","3653","57712","8004","50566","15823","59201","6192","63816","4122","26706","5982","36960","22076","21787","3827","18932","4128","17334","5382","24023","18243","28502","5546","22223","6250","56925","21645","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53029","Island County, Washington","32990","1646","90.1","1.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","87.0","2.0","4.4","2.0","25.2","2.4","38.5","2.5","31.9","2.4","21722","1786","N","N","N","N","N","N","N","N","N","N","11268","1200","55.1","6.1","45.7","6.8","9.4","4.9","44.9","6.1","33.7","5.9","11.2","4.7","29.7","(X)","28.4","(X)","30.4","(X)","51893","3484","53374","4123","27387","18756","48770","27773","50213","26814","-","**","N","N","N","N","53718","23785","52843","4220","25833","13757","51855","10135","68129","9735","46216","4449","64651","6887","67391","16246","64108","7555","72457","7544","30487","14185","46736","15703","32041","5011","26379","8021","23574","6640","54250","30065","45384","8589","31529","12881","69714","21375","(X)","(X)","(X)","(X)","(X)","(X)"
