Square Miles,County
5267.97,Okanogan
4295.39,Yakima
2920.52,Chelan
2679.51,Grant
2477.76,Stevens
2402.80,Lewis
2310.49,Lincoln
2297.27,Kittitas
2203.16,Ferry
2159.09,"Whitman,"
2115.56,King
2106.86,Whatcom
2087.27,Snohomish
1924.98,Adams
1902.03,Grays Harbor
1871.31,Klickitat
1819.26,Douglas
1803.70,Jefferson
1763.79,Spokane
1738.33,Clallam
1731.20,Skagit
1700.38,Benton
1669.51,Pierce
1655.68,Skamania
1399.99,Pend Oreille
1270.13,Walla Walla
1242.17,Franklin
1140.12,Cowlitz
959.42,Mason
932.66,Pacific
868.63,Columbia
721.96,Thurston
710.69,Garfield
636.21,Asotin
629.00,Clark
394.94,Kitsap
263.38,Wahkiakum
208.45,Island
173.91,San Juan
