PRODUCERS,,,,,Summary to Date,,,,,,,,
License Number,Reporting Period, Total Sales, Excise Tax Due ,,,Sales,,,,Excise Tax Due,,,
412618,6/1/2014 - 6/30/2014,"$3,240 ",$810 ,,Reporting Period,Producer,Processor,Retailer,Total,Producer,Processor,Retailer,Total
412194,6/1/2014 - 6/30/2014,"$1,140 ",$285 ,,6/1/2014 - 6/30/2014,"$6,300 ", $- , $- ,"$6,300 ","$1,575 ", $- , $- ,"$1,575 "
419150,6/1/2014 - 6/30/2014,"$1,920 ",$480 ,,7/1/2014 - 7/31/2014,"$182,642 ","$1,207,811 ","$1,846,760 ","$3,237,213 ","$45,660 ","$301,953 ","$461,690 ","$809,303 "
PRODUCERS PERIOD TOTAL,6/1/2014 - 6/30/2014,"$6,300 ","$1,575 ",,8/1/2014 - 8/31/2014,"$146,839 ","$2,351,566 ","$4,555,325 ","$7,053,730 ","$36,710 ","$587,892 ","$1,138,831 ","$1,763,433 "
412079,7/1/2014 - 7/31/2014,"$26,764 ","$6,691 ",,9/1/2014 - 9/30/2014,"$262,090 ","$2,559,076 ","$5,806,226 ","$8,627,392 ","$65,522 ","$639,769 ","$1,451,557 ","$2,156,848 "
412214,7/1/2014 - 7/31/2014,"$6,875 ","$1,719 ",,10/1/2014 - 10/31/2014,"$722,075 ","$4,583,164 ","$7,746,266 ","$13,051,505 ","$180,519 ","$1,145,791 ","$1,936,566 ","$3,262,876 "
413113,7/1/2014 - 7/31/2014,$750 ,$188 ,,11/1/2014 - 11/30/2014,"$1,909,978 ","$5,081,283 ","$9,091,369 ","$16,082,630 ","$477,495 ","$1,270,321 ","$2,272,842 ","$4,020,658 "
412069,7/1/2014 - 7/31/2014,"$93,627 ","$23,407 ",,12/1/2014 - 12/31/2014,"$614,575 ","$4,865,101 ","$11,605,492 ","$17,085,168 ","$153,644 ","$1,216,275 ","$2,901,373 ","$4,271,292 "
412119,7/1/2014 - 7/31/2014,"$17,981 ","$4,495 ",,1/1/2015 - 1/31/2015,"$264,436 ","$5,499,945 ","$13,096,423 ","$18,860,804 ","$66,109 ","$1,374,986 ","$3,274,106 ","$4,715,201 "
412567,7/1/2014 - 7/31/2014,$238 ,$59 ,,2/1/2015 - 2/28/2015,"$191,926 ","$6,503,697 ","$16,085,904 ","$22,781,527 ","$47,981 ","$1,625,924 ","$4,021,476 ","$5,695,382 "
412618,7/1/2014 - 7/31/2014,"$15,299 ","$3,825 ",,3/1/2015 - 3/31/2015,"$281,699 ","$8,247,658 ","$21,362,807 ","$29,892,165 ","$70,425 ","$2,061,915 ","$5,340,702 ","$7,473,042 "
412384,7/1/2014 - 7/31/2014,"$11,504 ","$2,876 ",,4/1/2015 - 4/30/2015,"$477,289 ","$9,877,689 ","$24,854,351 ","$35,209,330 ","$119,322 ","$2,469,423 ","$6,213,588 ","$8,802,333 "
412240,7/1/2014 - 7/31/2014,"$2,395 ",$599 ,,5/1/2015 - 5/31/2015,"$341,022 ","$10,978,691 ","$30,303,479 ","$41,623,192 ","$85,256 ","$2,744,673 ","$7,575,870 ","$10,405,799 "
