License Number,Date,"Activity"" ",City Name,County Name
360307,06/08/2017 12:00:00 AM,Marijuana Premises Check,SPOKANE (CITY),SPOKANE
415361,06/05/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,KLICKITAT
,11/21/2015 12:00:00 AM,Marijuana Premises Check,,
,08/25/2016 12:00:00 AM,Marijuana Premises Check,,
,01/26/2017 12:00:00 AM,Marijuana Premises Check,,
414143,06/28/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,OKANOGAN
,02/23/2017 12:00:00 AM,Marijuana Premises Check,,
421695,06/08/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,KING
422525,06/10/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,CLALLAM
422525,06/10/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,CLALLAM
420416,06/27/2017 12:00:00 AM,Marijuana Premises Check,BREMERTON,KITSAP
420741,06/09/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,BURIEN,KING
422978,06/21/2017 12:00:00 AM,Marijuana Premises Check,MOUNT VERNON,SKAGIT
415032,06/22/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SKAGIT
424381,06/05/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,WHATCOM
421695,06/09/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,KING
420638,06/14/2017 12:00:00 AM,Marijuana Premises Check,AUBURN,KING
070636,08/08/2014 12:00:00 AM,Marijuana Premises Check,,
424257,06/09/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,PIERCE
413650,06/19/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,WHATCOM
422012,06/20/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
353928,06/27/2017 12:00:00 AM,Marijuana Premises Check,YAKIMA,YAKIMA
416223,06/14/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,OKANOGAN
423977,06/20/2017 12:00:00 AM,Marijuana Premises Check,TACOMA,PIERCE
416315,06/12/2017 12:00:00 AM,Marijuana Premises Check,SEATTLE,KING
420619,05/25/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,SNOHOMISH
414280,06/08/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORP. AREAS,COWLITZ
413002,06/06/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
413551,06/05/2017 12:00:00 AM,Marijuana Premises Check,CHEHALIS,LEWIS
413258,06/06/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,PIERCE
416226,06/08/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,DOUGLAS
416226,06/08/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,DOUGLAS
413596,06/27/2017 12:00:00 AM,Marijuana Premises Check,UNION GAP,YAKIMA
413462,06/14/2017 12:00:00 AM,Marijuana Premises Check,LACEY,THURSTON
416462,06/06/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,SKAGIT
421616,06/15/2017 12:00:00 AM,Marijuana Premises Check,BELLINGHAM,WHATCOM
421759,06/19/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
421918,06/07/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,JEFFERSON
412286,06/23/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,CHELAN
353993,06/12/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,HOQUIAM,GRAYS HARBOR
414041,06/06/2017 12:00:00 AM,Marijuana Premises Check,TUMWATER,THURSTON
420338,06/02/2017 12:00:00 AM,Marijuana Premises Check,RENTON,KING
414111,06/28/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,MASON
419640,06/13/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,UNINCORPORATED AREAS,THURSTON
353260,06/16/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,JEFFERSON
423372,06/10/2017 12:00:00 AM,Marijuana Premises Check,TACOMA,PIERCE
413813,06/21/2017 12:00:00 AM,Marijuana Premises Check,UNINCORPORATED AREAS,PIERCE
415032,06/08/2017 12:00:00 AM,Marijuana Compliance Check-Sale,UNINCORPORATED AREAS,SKAGIT
424172,06/14/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,KITSAP
414295,06/09/2017 12:00:00 AM,Marijuana Premises Check,DES MOINES,KING
414243,06/13/2017 12:00:00 AM,Marijuana Premises Check,LONGVIEW,COWLITZ
365390,06/20/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,,
082587,06/16/2017 12:00:00 AM,Marijuana Premises Check,MILLWOOD,SPOKANE
082522,05/19/2015 12:00:00 AM,Marijuana Premises Check,,
414958,06/12/2017 12:00:00 AM,Marijuana Premises Check,ELLENSBURG,KITTITAS
413145,06/05/2017 12:00:00 AM,Marijuana Premises Check,BELLINGHAM,WHATCOM
415314,06/02/2017 12:00:00 AM,Marijuana Premises Check,PULLMAN,WHITMAN
413420,06/12/2017 12:00:00 AM,Marijuana Compliance Check-Sale,UNINCORPORATED AREAS,PIERCE
079720,06/09/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,KITSAP
424747,06/07/2017 12:00:00 AM,Marijuana Premises Check,RENTON,KING
414789,06/07/2017 12:00:00 AM,Marijuana Compliance Check-no Sale,MARYSVILLE,SNOHOMISH
423101,06/29/2017 12:00:00 AM,Marijuana Premises Check,UNINCORP. AREAS,OKANOGAN
