License #,ID #,Trade Name,Issue Date,premise id,L/Street,L/City,CITY,County,Updated 2019,Gender,% Ownership,Self-Identified Race,Census Category,Race of Majority Ownership (Cumulative),Percent ofMajority,Ownership,Percent of Cumulative Majority,Final
071368,6033550310010004,THE HERBERY,20191024,394,330 NE CHKALOV DR STE C & D,VANCOUVER,5,6,Yes,Male,49.00%,Caucasian ,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
071368,6033550310010004,THE HERBERY,20191024,394,330 NE CHKALOV DR STE C & D,VANCOUVER,5,6,Yes,Male,51.00%,Caucasian ,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
076189,6035590780010001,"J.M.C., LLC",0,394,23128 STATE ROUTE 9 SE STE 2,WOODINVILLE,35,17,No,F,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
076189,6035590780010001,"J.M.C., LLC",0,394,23128 STATE ROUTE 9 SE STE 2,WOODINVILLE,35,17,No,M,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
079013,6033255610010003,POT SHOP,20190822,394,1628 DEXTER AVE N STE A,SEATTLE,26,17,Yes,Female,100.00%,Caucasian ,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
079350,6041937950010003,LOCALAMSTER,20191030,394,7262 RAINIER AVE S,SEATTLE,26,17,Yes,Male,100.00%,Caucasian ,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
079720,6035601210010004,FILLABONG,20190912,394,3249 PERRY AVE STE B,BREMERTON,0,18,No,F,50.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
079720,6035601210010004,FILLABONG,20190912,394,3249 PERRY AVE STE B,BREMERTON,0,18,No,F,50.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
081400,6040966540010001,GREEN TIKI CANNABIS,20190323,394,8208 NE STATE HIGHWAY 104,KINGSTON,0,18,No,F,100.00%,White,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
082587,6033510980010007,NXNW RETAIL LLC/CANNABIS & GLASS,20191123,394,9403 E TRENT AVE,MILLWOOD,7,32,No,M,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
084045,6033550310010001,THE HERBERY,20191024,394,212 NE 164TH AVE STE 11,VANCOUVER,5,6,Yes,Male,40.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
084045,6033550310010001,THE HERBERY,20191024,394,212 NE 164TH AVE STE 11,VANCOUVER,5,6,Yes,Male,60.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
084154,6043267590010001,ZIPS CANNABIS,20191030,394,3213 S 38TH STE C,TACOMA,17,27,Yes,Male,25.00%,Caucasian ,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
084154,6043267590010001,ZIPS CANNABIS,20191030,394,3213 S 38TH STE C,TACOMA,17,27,Yes,Male,25.00%,Caucasian ,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
084154,6043267590010001,ZIPS CANNABIS,20191030,394,3213 S 38TH STE C,TACOMA,17,27,Yes,Male,50.00%,Caucasian ,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
085059,6033524760010006,BAD ASS WEED CO.,20181205,394,8459 MAIN ST  UNIT B,DRYDEN,0,4,No,M,20.00%,Black,Black or African American,White,80%,Non-Minority Owned,80%,Non-Minority Owned
085059,6033524760010006,BAD ASS WEED CO.,20181205,394,8459 MAIN ST  UNIT B,DRYDEN,0,4,No,F,80.00%,White,White,White,80%,Non-Minority Owned,80%,Non-Minority Owned
086054,6033463060010002,THE GREEN SEED,20191018,394,412 S INTERLAKE RD,MOSES LAKE,9,13,No,F,100.00%,Caucasian,White,White,100%,Non-Minority Owned,100%,Non-Minority Owned
