Tradename,License #,UBI,Street Address,Suite/Rm,City,State,County,ZipCode,PrivDesc,PrivilegeStatus,DateIssued,DayPhone,ManuallyCleaned,Source
DAVE'S PLACE                                 ,415202,6.03E+15,10 MAPLE GROVE RD             ,                         ,SUNNYSIDE               ,WA,YAKIMA,989440000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191217,5098300275,0,0
CUTIE JUDY'S CANNABIS COMPANY                ,422234,6.03E+15,10 VALUE PARKWAY STE A        ,STE A                    ,ELMA                    ,WA,GRAYS HARBOR,984455527,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200406,2532412948,0,0
SATORI                                       ,421616,6.03E+15,100 E MAPLE ST STE A          ,                         ,BELLINGHAM              ,WA,WHATCOM,982255006,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191012,2064191102,0,0
LA PUSH KUSH                                 ,419178,6.02E+15,100 LA PUSH RD STE 602        ,                         ,FORKS                   ,WA,CLALLAM,983319406,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20150213,5416109508,0,0
SWEET LEAF CANNABIS CO                       ,415523,6.03E+15,100 OLD HILL RD               ,                         ,ABERDEEN                ,WA,GRAYS HARBOR,985207300,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191030,3605325758,0,0
CANNABIS 21                                  ,415567,6.03E+15,1000 E WISHKAH ST             ,                         ,ABERDEEN                ,WA,GRAYS HARBOR,985200000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191019,3602397149,0,0
LOCALAMSTER                                  ,414243,6.04E+15,1006 CALIFORNIA WAY           ,                         ,LONGVIEW                ,WA,COWLITZ,986321615,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191203,3603533628,0,0
SWEET RELIEF CANNABIS EXPRESS                ,422336,6.04E+15,1009 E YAKIMA AVE             ,                         ,YAKIMA                  ,WA,YAKIMA,989012558,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200221,3609096327,0,0
GREEN LIGHT COLLECTIVE                       ,412492,6.03E+15,10105 122ND ST E              ,                         ,PUYALLUP                ,WA,PIERCE,983733566,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),,2532416356,0,0
TWISP HOUSE OF CANNABIS                      ,400085,6.04E+15,1017 E METHOW VALLEY HWY      ,                         ,TWISP                   ,WA,OKANOGAN,988560000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200606,5099970996,0,0
GREENLIGHT                                   ,415112,6.03E+15,10309 E TRENT AVE             ,                         ,MILLWOOD                ,WA,SPOKANE,992064514,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191213,5094752821,0,0
28 GRAHAMS CANNABIS                          ,428654,6.03E+15,10315 200TH ST E              ,                         ,GRAHAM                  ,WA,PIERCE,983380000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200610,2537405648,0,0
THE BAKEREE                                  ,414456,6.04E+15,10326 AURORA AVE N            ,                         ,SEATTLE                 ,WA,KING,981339228,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200514,2066969764,0,0
LUX POT SHOP                                 ,414160,6.03E+15,10333 LAKE CITY WAY NE #101   ,                         ,SEATTLE                 ,WA,KING,981257737,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200605,2067193162,0,0
MARY JANES                                   ,414864,6.04E+15,1037 W MARINA DR              ,                         ,MOSES LAKE              ,WA,GRANT,988372635,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20200530,5098554485,0,0
BETTER BUDS                                  ,425965,6.03E+15,10384 SILVERDALE WAY NW STE 10,                         ,SILVERDALE              ,WA,KITSAP,983837670,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20190917,3607316611,0,0
CENTRALIA CANNABIS CONNECTION                ,414767,6.01E+15,1039 S GOLD ST                ,                         ,CENTRALIA               ,WA,LEWIS,985313711,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20191213,3607480807,0,0
