Tradename,License #,UBI,Street Address,Suite/Rm,City,State,County,ZipCode,PrivDesc,PrivilegeStatus,DateCreated,DayPhone,ManuallyCleaned,Source
EXPONENTIAL 3                                ,422001,6.04E+15,                              ,                         ,                        ,  ,KING,         ,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),        ,          ,0,0
MEDIBLE MIKES                                ,415556,6.03E+15,000 MYRA RD                   ,                         ,WALLA WALLA             ,WA,WALLA WALLA,993620000,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20140103,5093083959,0,0
DAVE'S PLACE                                 ,415202,6.03E+15,10 MAPLE GROVE RD             ,                         ,SUNNYSIDE               ,WA,YAKIMA,989440000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20161216,5098300275,0,0
CUTIE JUDY'S CANNABIS COMPANY                ,422234,6.03E+15,10 VALUE PARKWAY STE A        ,STE A                    ,ELMA                    ,WA,GRAYS HARBOR,984455527,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170216,2532412948,0,0
CUTIE JUDY'S CANNABIS COMPANY                ,422900,6.03E+15,10 VALUE PKWY                 ,                         ,ELMA                    ,WA,GRAYS HARBOR,985419076,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160405,5057128256,0,0
SATORI                                       ,421616,6.03E+15,100 E MAPLE ST STE A          ,                         ,BELLINGHAM              ,WA,WHATCOM,982255006,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170110,2064191102,0,0
LA PUSH KUSH                                 ,413695,6.02E+15,100 LA PUSH RD STE 602        ,                         ,FORKS                   ,WA,CLALLAM,983319406,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20150930,5416109508,0,0
LA PUSH KUSH                                 ,419178,6.02E+15,100 LA PUSH RD STE 602        ,                         ,FORKS                   ,WA,CLALLAM,983319406,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20150304,5416109508,0,0
SWEET LEAF CANNABIS CO                       ,415523,6.03E+15,100 OLD HILL RD               ,                         ,ABERDEEN                ,WA,GRAYS HARBOR,985207300,MARIJUANA RETAILER                 ,PENDING (ISSUED),20170322,3605325758,0,0
CANNABIS 21                                  ,415567,6.03E+15,1000 E WISHKAH ST             ,                         ,ABERDEEN                ,WA,GRAYS HARBOR,985200000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170105,3602397149,0,0
SEA DUNES LLC                                ,421372,6.03E+15,10011 CRAMER ROAD KP N        ,                         ,GIG HARBOR              ,WA,PIERCE,983295797,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160330,2535149245,0,0
LOCALAMSTER                                  ,414243,6.03E+15,1006 CALIFORNIA WAY           ,                         ,LONGVIEW                ,WA,COWLITZ,986321615,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170209,2068760140,0,0
SWEET RELIEF CANNABIS EXPRESS                ,422336,6.04E+15,1009 E YAKIMA AVE             ,                         ,YAKIMA                  ,WA,YAKIMA,989012558,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170724,3609096327,0,0
