Tradename,License #,UBI,Street Address,Suite/Rm,City,State,County,ZipCode,PrivDesc,PrivilegeStatus,DateCreated,DayPhone,ManuallyCleaned,Source
OH MCDONALD FARMS'                          ,413650,6.03443E+15,250 W AXTON RD                ,                         ,BELLINGHAM              ,WA,WHATCOM,982267315,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),20170623,3609666785,0,0
12/12 GARDENS                                ,417272,6.03359E+15,3104 234TH ST E UNIT A        ,UNIT A                   ,SPANAWAY                ,WA,PIERCE,983877472,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),20161215,2533507952,0,0
150 POUNDERS                                 ,417134,6.02401E+15,21037 BUCODA HWY SE           ,                         ,CENTRALIA               ,WA,THURSTON,985319501,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),20170708,2534055065,0,0
25K FARMS                                    ,416058,6.0336E+15,6790 MARTIN WAY E             ,                         ,LACEY                   ,WA,THURSTON,985165556,MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),20131224,4255311122,0,0
420 FARMS                                    ,412433,6.03413E+15,11670 W HWY 28                ,STE C                    ,QUINCY                  ,WA,GRANT,988489709,MARIJUANA PROCESSOR                ,PENDING (ISSUED),20170512,5096796556,0,0
420 GROWERS AND PROCESSORS                   ,412200,6.03461E+15,4710 E ELK TO HIGHWAY RD STE A,                         ,ELK                     ,WA,SPOKANE,990098752,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),20170202,5097014967,0,0
420 GROWERS AND PRODUCERS                    ,417542,6.02301E+15,4710 E ELK TO HIGHWAY RD STE B,                         ,ELK                     ,WA,SPOKANE,990098752,MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),20140217,5092829818,0,0
420 NATURAL                                  ,416426,6.03357E+15,9730 LATHROP INDUSTRIAL DR SW ,STE D1                   ,TUMWATER                ,WA,THURSTON,985121064,MARIJUANA PROCESSOR                ,PENDING (ISSUED),20170422,3603523420,0,0
420 PRO                                      ,416001,6.03449E+15,12313 NE 117TH AVE            ,                         ,VANCOUVER               ,WA,CLARK,986621267,MARIJUANA PROCESSOR                ,CLOSED (PERMANENT),20161012,3604488960,0,0
420 PRODUCTS                                 ,412742,6.03351E+15,21 154TH DR SE    STE A       ,STE A                    ,SNOHOMISH               ,WA,SNOHOMISH,982907780,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),20161129,2067943797,0,0
47 DEGREES NORTH                             ,416340,6.03353E+15,28221 N NORTH RD              ,                         ,DEER PARK               ,WA,SPOKANE,990069363,MARIJUANA PROCESSOR                ,PENDING (ISSUED),20170715,2063750631,0,0
4EVERGREEN TREES                             ,413855,6.03353E+15,3303 S 35TH ST STE B-18       ,STE B-18                 ,TACOMA                  ,WA,PIERCE,984090000,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),20170627,2063544239,0,0
502 DISTRIBUTION                             ,413907,6.03356E+15,1328 276TH ST E  STE A        ,STE A                    ,SPANAWAY                ,WA,PIERCE,983879710,MARIJUANA PROCESSOR                ,PENDING (ISSUED),20170527,5038600606,0,0
502 PROCESSOR'S GROUP                        ,413478,6.03356E+15,2942 1ST AVE S                ,                         ,SEATTLE                 ,WA,KING,981341820,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),20161208,4147310189,0,0
509 DA KINE                                  ,412599,6.03347E+15,19 GUN CLUB RD STE A          ,                         ,BREWSTER                ,WA,DOUGLAS,988129631,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),20161109,5096860178,0,0
5TH HOUSE FARMS                              ,416057,6.03423E+15,19425 OLD HWY 99 SW STE A     ,                         ,ROCHESTER               ,WA,THURSTON,985799124,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),20170619,4255311122,0,0
A NEW LEAF                                   ,416356,6.03322E+15,26713 SW ROAD U               ,#B                       ,MATTAWA                 ,WA,GRANT,993490000,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),20170725,3607314907,0,0
A NEW LEAF                                   ,424541,6.03322E+15,900 POLK STREET               ,"STE 0,1,2,3              ",ABERDEEN                ,WA,GRAYS HARBOR,985200000,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),20170621,3607314907,0,0
A-ACTION GROUP UTILITIES                     ,416630,6.02142E+15,1199 W CUNNINGHAM RD P3       ,STE P3                   ,OTHELLO                 ,WA,ADAMS,993440000,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),20170715,3608704970,0,0
AARONS ORIGINAL                              ,412986,6.00183E+15,177 RAREY RD                  ,                         ,WINLOCK                 ,WA,LEWIS,985969663,MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),20131122,3607850283,0,0
ABI MANAGMENT                                ,413098,6.0335E+15,340 E MILLWRIGHT RD BLDG B    ,STE B                    ,SHELTON                 ,WA,MASON,985840000,MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),20131213,7072277072,0,0
ABILENE PRODUCTIONS LLC                      ,416657,6.03504E+15,1926 PINE CR RD   UNIT 5      ,                         ,TONASKET                ,WA,OKANOGAN,988550000,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),20170518,2067958838,0,0
ABSOLUTE EDIBLES                             ,416661,6.03416E+15,202 N CRESTLINE STE C         ,                         ,SPOKANE                 ,WA,SPOKANE,992023005,MARIJUANA PROCESSOR                ,CLOSED (PERMANENT),20160413,5098632076,0,0
ABSOLUTE OILS                                ,415964,6.03467E+15,78 S LUCILE ST                ,                         ,SEATTLE                 ,WA,KING,981342418,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),20170609,2063106620,0,0
ABSOLUTE OILS                                ,421839,6.03467E+15,1432 S CLOVERDALE ST          ,                         ,SEATTLE                 ,WA,KING,981084825,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),20170717,2063106620,0,0
ABUNDANT JOY                                 ,415684,6.03351E+15,2418 W SAFARI LN  STE A       ,                         ,DEER PARK               ,WA,SPOKANE,990065171,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),20161115,5098637841,0,0
