Tradename,License #,UBI,Street Address,Suite/Rm,City,State,County,ZipCode,PrivDesc,PrivilegeStatus,DateCreated,DayPhone,ManuallyCleaned,Source
OH MCDONALD FARMS'                          ,413650,6.03443E+15,250 W AXTON RD                ,                         ,BELLINGHAM              ,WA,WHATCOM,982267315,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170623,3609666785,0,0
12/12 GARDENS                                ,417272,6.03359E+15,3104 234TH ST E UNIT A        ,UNIT A                   ,SPANAWAY                ,WA,PIERCE,983877472,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20161215,2533507952,0,0
1492 PRODUCTIONS                             ,413280,6.03352E+15,2835 OCEAN AVE #A             ,                         ,RAYMOND                 ,WA,PACIFIC,985774909,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20161229,7863766010,0,0
150 POUNDERS                                 ,417134,6.02401E+15,21037 BUCODA HWY SE           ,                         ,CENTRALIA               ,WA,THURSTON,985319501,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170708,2534055065,0,0
420 FARMS                                    ,412433,6.03413E+15,11670 W HWY 28                ,STE C                    ,QUINCY                  ,WA,GRANT,988489709,MARIJUANA PRODUCER TIER 3          ,PENDING (ISSUED),20170512,5096796556,0,0
420 GROWERS AND PROCESSORS                   ,412200,6.03461E+15,4710 E ELK TO HIGHWAY RD STE A,                         ,ELK                     ,WA,SPOKANE,990098752,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20170202,5097014967,0,0
420 NATURAL                                  ,416426,6.03357E+15,9730 LATHROP INDUSTRIAL DR SW ,STE D1                   ,TUMWATER                ,WA,THURSTON,985121064,MARIJUANA PRODUCER TIER 2          ,PENDING (ISSUED),20170422,3603523420,0,0
420 PRO                                      ,416001,6.03449E+15,12313 NE 117TH AVE            ,                         ,VANCOUVER               ,WA,CLARK,986621267,MARIJUANA PRODUCER TIER 2          ,CLOSED (PERMANENT),20161012,3604488960,0,0
420 PRODUCTS                                 ,412742,6.03351E+15,21 154TH DR SE    STE A       ,STE A                    ,SNOHOMISH               ,WA,SNOHOMISH,982907780,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),20161129,2067943797,0,0
420 RANCH                                    ,416748,6.03359E+15,8531 POSTMA RD STE P          ,STE P                    ,MOXEE                   ,WA,YAKIMA,989369317,MARIJUANA PRODUCER TIER 3          ,CLOSED (PERMANENT),20170221,5415711868,0,0
