Current Medical Endorsed Retailers,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
License Number,UBI,Tradename,Privilege,Status,Med Privilege Code,Termination Code,Street Address,Suite Rm,City,State,County,Zip Code,Date Created,Day Phone,Email
415470,6.04349E+15,2020 SOLUTIONS IRON STREET                   ,MARIJUANA RETAILER       ,PENDING (ISSUED),395,  ,2018 IRON ST STE A            ,                         ,BELLINGHAM              ,WA,WHATCOM,982264212,20190403,2068180966,KYLE@I502SOLUTIONS.COM
413314,6.04349E+15,2020 SOLUTIONS ON THE GUIDE                  ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,5655 GUIDE MERIDIAN STE A     ,                         ,BELLINGHAM              ,WA,WHATCOM,982269722,20190403,2068180966,ME@JOEDIGIUGNO.COM ; AARON@I502SOLUTIONS.COM
420908,6.04349E+15,2020 SOLUTIONS PACIFIC HIGHWAY               ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,4770 PACIFIC HWY STE A        ,                         ,BELLINGHAM              ,WA,WHATCOM,982269049,20190501,3607342020,ME@JOEDIGIUGNO.COM
422099,6.04152E+15,365 RECREATIONAL CANNABIS                    ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,36711 U.S. HIGHWAY 12         ,                         ,DAYTON                  ,WA,COLUMBIA,983288622,20190403,5093823161,SEANTHERIDER@HOTMAIL.COM
423784,6.0343E+15,365 RECREATIONAL CANNABIS                    ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,17517 15TH AVE NE #B          ,                         ,SHORELINE               ,WA,KING,981553801,20160926,2065577778,RECREATIONAL365@YAHOO.COM
413586,6.03352E+15,4:20 FRIENDLY                                ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,1515 LEWIS ST                 ,                         ,SPOKANE                 ,WA,SPOKANE,992249785,20151113,5094990999,A420STORE@GMAIL.COM
424848,6.03534E+15,420 CAPITOL                                  ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,5980 CAPITOL BLVD SE          ,                         ,TUMWATER                ,WA,THURSTON,985015274,20170502,3604026368,Champagneproducts@gmail.com
415083,6.03359E+15,420 CARPENTER                                ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,422 CARPENTER RD STE 105      ,                         ,LACEY                   ,WA,THURSTON,985037906,20151009,3604026368,CHAMPAGNEPRODUCTS@GMAIL.COM
426678,6.03579E+15,420 ELMA ON MAIN                             ,MARIJUANA RETAILER       ,PENDING (ISSUED),395,  ,306 W MAIN ST                 ,                         ,ELMA                    ,WA,GRAYS HARBOR,985410000,20180423,2539061919,RTRANNIER@HOTMAIL.COM
428560,6.04183E+15,420 GRAND CENTRAL                            ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,19941 OLD HIGHWAY 99 SW       ,                         ,ROCHESTER               ,WA,THURSTON,985798689,20190513,3604026368,CHAMPAGNEPRODUCTS@GMAIL.COM
415526,6.03359E+15,420 HOLIDAY                                  ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,2028 10TH AVE                 ,                         ,LONGVIEW                ,WA,COWLITZ,986324007,20151014,3607033103,DHALAIANDY@GMAIL.COM
423372,6.0348E+15,420 TACOMA                                   ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,2128 S 37TH ST                ,                         ,TACOMA                  ,WA,PIERCE,984097445,20160906,3604026368,BEANJA@COMCAST.NET
414733,6.03359E+15,420 WEST                                     ,MARIJUANA RETAILER       ,PENDING (ISSUED),395,  ,410 RONLEE LN NW A1           ,                         ,OLYMPIA                 ,WA,THURSTON,985029266,20151009,3604026368,CHAMPAGNEPRODUCTS@GMAIL.COM
421491,6.03295E+15,A & J MANAGEMENT GROUP                       ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,234 DIVISION ST NW STE B      ,                         ,OLYMPIA                 ,WA,THURSTON,985024916,20160209,5055507710,JENNARAE51@GMAIL.COM
414441,6.0345E+15,A GREENER TODAY MARIJUANA                    ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,5209 MARTIN LUTHER KING JR.   ,WAY S                    ,SEATTLE                 ,WA,KING,981186131,20161216,2066877877,BRIE.DYSON@GMAIL.COM
414814,6.0345E+15,A GREENER TODAY MARIJUANA                    ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,16053 AURORA AVE N STE B      ,STE B                    ,SHORELINE               ,WA,KING,981332610,20170324,2068017756,BRIE.DYSON@GMAIL.COM
422044,6.04134E+15,A GREENER TODAY MARIJUANA                    ,MARIJUANA RETAILER       ,ACTIVE (ISSUED),395,  ,19315 BOTHELL EVERETT HWY #1  ,UNIT 1                   ,BOTHELL                 ,WA,SNOHOMISH,980127112,20171121,4257736021,BRIE.DYSON@GMAIL.COM
