License Number,Visit Date,Penalty Type,Case #,WAC Code,Violation Type,City Name,County Name
416619,01/25/2017 12:00:00 AM,Written Warning,7I7025B,314.55.017,(MJ) Unauthorized sale to a retail licensee. (producer),UNINCORPORATED AREAS,ISLAND
421490,01/11/2017 12:00:00 AM,Written Warning,1C7011A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,UNINCORPORATED AREAS,THURSTON
417379,09/10/2015 12:00:00 AM,Written Warning,7O5253B,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,BENTON
413570,05/04/2015 12:00:00 AM,Written Warning,2A5124A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
416730,08/03/2016 12:00:00 AM,Written Warning,7L6216A,314.55.035,(MJ) True party of interest violation.,MOXEE,YAKIMA
415998,01/28/2015 12:00:00 AM,Written Warning,7E5028A,314.55.083(6),(MJ) Operating plan: Violations of a board-approved operating plan.,BATTLE GROUND,CLARK
415410,08/16/2016 12:00:00 AM,Written Warning,1Q6229A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,BUCKLEY,PIERCE
412218,08/29/2014 12:00:00 AM,Written Warning,7D4241A,314.55.097,(MJ) Failure for a producer to meet marijuana waste disposal requirements. (producer),PORT ANGELES,CLALLAM
416417,10/16/2016 12:00:00 AM,Written Warning,7L6290B,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),MOXEE,YAKIMA
415726,08/31/2016 12:00:00 AM,Written Warning,7M6244A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORP. AREAS,STEVENS
417335,10/23/2015 12:00:00 AM,Written Warning,7P5296G,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,UNINCORPORATED AREAS,CHELAN
416763,02/01/2017 12:00:00 AM,Written Warning,7M7032A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORPORATED AREAS,FERRY
422993,09/15/2016 12:00:00 AM,Written Warning,7P6259A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORPORATED AREAS,CHELAN
412969,07/31/2015 12:00:00 AM,Written Warning,7O5212B,314.55.092,(MJ) Failure to submit monthly tax reports and/or payments.,UNINCORPORATED AREAS,DOUGLAS
417295,04/14/2017 12:00:00 AM,Written Warning,7M7104A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,UNINCORPORATED AREAS,SPOKANE
412097,03/30/2016 12:00:00 AM,Written Warning,7B6090A,314.55.083(6),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,LONGVIEW,COWLITZ
422146,07/25/2014 12:00:00 AM,Written Warning,4X4206A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORPORATED AREAS,SPOKANE
415523,10/13/2016 12:00:00 AM,Written Warning,1D6287A,314.55.105,(MJ) Packaging and/or labeling violations (processor/retailer).,UNINCORPORATED AREAS,GRAYS HARBOR
413718,05/07/2015 12:00:00 AM,Written Warning,7D5129A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,TACOMA,PIERCE
415645,08/30/2016 12:00:00 AM,Written Warning,4G6243B,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,WENATCHEE,CHELAN
412123,10/09/2015 12:00:00 AM,Written Warning,7E5282B,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,UNINCORP. AREAS,COWLITZ
415206,08/09/2016 12:00:00 AM,Written Warning,1D6222A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,RAYMOND,PACIFIC
413702,02/22/2017 12:00:00 AM,Written Warning,3B7053A,314.55.092,(MJ) Failure to submit monthly tax reports and/or payments.,BELLINGHAM,WHATCOM
412362,08/17/2015 12:00:00 AM,Written Warning,7O5229A,314.55.085,(MJ) Violation of transportation requirements. (producer),UNINCORP. AREAS,BENTON
413032,07/15/2015 12:00:00 AM,Written Warning,7L5196B,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,ELLENSBURG,KITTITAS
412311,11/13/2015 12:00:00 AM,Written Warning,7O5317A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,BENTON
413719,08/19/2016 12:00:00 AM,Written Warning,7I6232A,314.55.089,(MJ) Failure to submit monthly tax reports and/or payments.,UNINCORP. AREAS,WHATCOM
413626,09/08/2016 12:00:00 AM,Written Warning,4U6252A,314.55.035,(MJ) True party of interest violation.,UNINCORPORATED AREAS,MASON
414755,01/26/2016 12:00:00 AM,Written Warning,4G6026A,69.50.357,(MJ) Retail outlet selling unauthorized products.,WENATCHEE,CHELAN
415449,09/09/2016 12:00:00 AM,Written Warning,7C6253A,314.55.105,(MJ) Packaging and/or labeling violations (processor/retailer).,LACEY,THURSTON
413084,07/15/2015 12:00:00 AM,Written Warning,7L5196A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,UNINCORPORATED AREAS,YAKIMA
414963,04/15/2015 12:00:00 AM,Written Warning,1F5105A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,LACEY,THURSTON
414723,09/18/2014 12:00:00 AM,Written Warning,7D4261B,314.55.079,(MJ) Violation of transportation requirements.,TACOMA,PIERCE
414569,01/28/2015 12:00:00 AM,Written Warning,3W5028A,314.55.155(1),"(MJ) Advertising violations: Sign exceeding 1600 square inches; within 1000 feet of prohibited areas; on or in public transit vehicles, shelters, or publicly owned or operated property.",SHORELINE,KING
415083,10/13/2016 12:00:00 AM,Written Warning,1C6287B,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,UNINCORPORATED AREAS,THURSTON
417394,12/30/2014 12:00:00 AM,Written Warning,7O4364A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,BENTON
414755,08/06/2015 12:00:00 AM,Written Warning,4G5218A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,WENATCHEE,CHELAN
421434,02/09/2017 12:00:00 AM,Written Warning,7Q7040A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORPORATED AREAS,SPOKANE
417001,10/25/2016 12:00:00 AM,Written Warning,7O6299A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORP. AREAS,BENTON
413923,01/25/2017 12:00:00 AM,Written Warning,7I7025A,314.55.017,(MJ) Unauthorized sale to a retail licensee. (producer),UNINCORP. AREAS,WHATCOM
412576,11/13/2015 12:00:00 AM,Written Warning,7M5317A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,STEVENS
412627,09/12/2016 12:00:00 AM,Written Warning,7B6256A,314.55.085,(MJ) Violation of transportation requirements. (producer),ARLINGTON,SNOHOMISH
413665,08/09/2016 12:00:00 AM,Written Warning,7R6222A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,UNINCORPORATED AREAS,MASON
417147,03/30/2016 12:00:00 AM,Written Warning,7B6090B,314.55.083(6),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,LONGVIEW,COWLITZ
416400,02/11/2015 12:00:00 AM,Written Warning,7N5042A,314.55.084,"(MJ) Using unauthorized pesticides, soil amendments, fertilizers, other crop production aids.",UNINCORPORATED AREAS,SPOKANE
423000,03/28/2017 12:00:00 AM,Written Warning,3M7087A,314.55.085,(MJ) Violation of transportation requirements.,BELLEVUE,KING
412214,03/05/2015 12:00:00 AM,Written Warning,7H5064A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,UNINCORPORATED AREAS,CHELAN
414841,03/28/2017 12:00:00 AM,Written Warning,2Q7087A,314.55.096,(MJ) Packaging and/or labeling violations (processor/retailer).,RENTON,KING
412815,06/10/2016 12:00:00 AM,Written Warning,7P6162B,314.55.092,(MJ) Failure to submit monthly tax reports and/or payments.,UNINCORPORATED AREAS,CHELAN
