scrape,wmsite,dispensaryname,address,street,city,zipcode,email,phone,dateaccess,med_rec,ManuallyCleaned,Source
101,http://weedmaps.com/deliveries/chronic-pain-curables-deliveries,Supreme Green Delivery,"DELIVERY ONLY, Lynwood, WA 98087",DELIVERY ONLY,Lynwood,98087,supremegreendelivery@gmail.com,2064096882,11/22/15,recreational,0,
102,http://weedmaps.com/deliveries/chronic-pain-curables-deliveries,Supreme Green Delivery,"DELIVERY ONLY, Lynwood, WA 98087",DELIVERY ONLY,Lynwood,98087,supremegreendelivery@gmail.com,2064096882,11/28/15,recreational,0,
103,http://weedmaps.com/deliveries/chronic-pain-curables-deliveries,Supreme Green Delivery,"DELIVERY ONLY, Lynwood, WA 98087",DELIVERY ONLY,Lynwood,98087,supremegreendelivery@gmail.com,2064096882,12/7/15,recreational,0,
105,http://weedmaps.com/deliveries/chronic-pain-curables-deliveries,Supreme Green Delivery,"DELIVERY ONLY, Lynwood, WA 98087",DELIVERY ONLY,Lynwood,98087,supremegreendelivery@gmail.com,2064096882,12/21/15,recreational,0,
101,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,11/21/15,recreational,0,
102,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,11/28/15,recreational,0,
103,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,12/6/15,recreational,0,
105,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,12/20/15,recreational,0,
107,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,1/2/16,recreational,0,
113,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,2/13/16,recreational,0,
114,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,2/22/16,recreational,0,
115,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,2/28/16,recreational,0,
116,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,2/6/16,recreational,0,
117,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,3/13/16,recreational,0,
118,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,3/19/16,recreational,0,
119,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,3/26/16,recreational,0,
120,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,4/3/16,recreational,0,
121,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,4/9/16,recreational,0,
122,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,4/17/16,recreational,0,
123,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,4/24/16,recreational,0,
124,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,4/30/16,recreational,0,
125,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,5/7/16,recreational,0,
126,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,5/15/16,recreational,0,
127,http://weedmaps.com/dispensaries/2020-solutions-recreational,2020 Solutions - Recreational,"2018 Iron St., Bellingham, WA 98225",2018 Iron St.,Bellingham,98225,info@i502solutions.com,360-734-2020,5/22/16,recreational,0,
101,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,11/22/15,recreational,0,
102,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,11/28/15,recreational,0,
103,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,12/7/15,recreational,0,
105,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,12/20/15,recreational,0,
107,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,1/3/16,recreational,0,
113,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,2/14/16,recreational,0,
114,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,2/22/16,recreational,0,
115,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,2/28/16,recreational,0,
116,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,2/7/16,recreational,0,
117,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,3/13/16,recreational,0,
118,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,3/20/16,recreational,0,
119,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,3/27/16,recreational,0,
120,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,4/4/16,recreational,0,
121,http://weedmaps.com/dispensaries/2020-solutions-recreational-north-bellingham,2020 Solutions - Recreational - North Bellingham,"5655 Guide Meridian, Bellingham, WA 98226",5655 Guide Meridian,Bellingham,98226,info@i502solutions.com,3607342020,4/10/16,recreational,0,
